"","state","fips2","tvote","vep","vepnov","turnoutvep","sc_fips"
"2522","48",48067,12344,22987.892578125,22994.732421875,0.536818623542786,"48067"
"2523","48",48069,1997,4094.0078125,4093.13037109375,0.487890630960464,"48069"
"2524","48",48071,16786,19961.38671875,19460.771484375,0.862555742263794,"48071"
"2525","48",48073,16790,34840.203125,35014.6015625,0.479514241218567,"48073"
"2526","48",48075,2084,4145.01904296875,4154.8134765625,0.5015869140625,"48075"
"2527","48",48077,5018,7915.232421875,7898.724609375,0.635292410850525,"48077"
"2528","48",48079,901,1711.81787109375,1700.78466796875,0.529755473136902,"48079"
"2529","48",48081,1423,2502.10620117188,2502.87939453125,0.568545162677765,"48081"
"2530","48",48083,3643,6433.61376953125,6451.20947265625,0.564700305461884,"48083"
"2531","48",48085,361419,581894.375,586094,0.616657078266144,"48085"
"2532","48",48087,1156,1847.24877929688,1846.63061523438,0.626004993915558,"48087"
"2533","48",48089,8513,15764.7578125,15831.8603515625,0.537713170051575,"48089"
"2534","48",48091,62178,98668.109375,100054.96875,0.621438384056091,"48091"
"2535","48",48093,5237,9653.2724609375,9690.599609375,0.540420651435852,"48093"
"2536","48",48095,1068,1332.69006347656,1351.28796386719,0.790357053279877,"48095"
"2537","48",48097,15955,27773.900390625,27860.59375,0.572672665119171,"48097"
"2538","48",48099,18253,44105.6875,44044.171875,0.414424866437912,"48099"
"2539","48",48101,612,1014.83721923828,1008.14147949219,0.607057631015778,"48101"
"2540","48",48103,1384,2876.79296875,2838.50073242188,0.487581342458725,"48103"
"2541","48",48105,1395,2370.6064453125,2357.85888671875,0.591638445854187,"48105"
"2542","48",48107,1728,4067.40307617188,4066.13598632812,0.424973487854004,"48107"
"2543","48",48109,767,1456.63171386719,1452.2470703125,0.528147041797638,"48109"
"2544","48",48111,1544,3960.02368164062,3940.5986328125,0.391818642616272,"48111"
"2545","48",48113,758973,1430588.375,1437729.375,0.527897000312805,"48113"
"2546","48",48115,3563,7123.8798828125,7116.6279296875,0.500658452510834,"48115"
"2547","48",48117,4216,10173.2978515625,10175.2431640625,0.414339005947113,"48117"
"2548","48",48119,2281,3943.123046875,3937.04248046875,0.579368889331818,"48119"
"2549","48",48121,298645,539224.375,548250.9375,0.544723212718964,"48121"
"2550","48",48123,6844,14294.2158203125,14290.517578125,0.478918969631195,"48123"
"2551","48",48125,909,1448.12365722656,1443.26477050781,0.629822075366974,"48125"
"2552","48",48127,3225,7100.4638671875,7055.5068359375,0.457089781761169,"48127"
"2553","48",48129,1465,2613.88525390625,2607.24536132812,0.561895728111267,"48129"
"2554","48",48131,4168,7606.46826171875,7607.251953125,0.547898232936859,"48131"
"2555","48",48133,6963,13712.6474609375,13754.5791015625,0.506231427192688,"48133"
"2556","48",48135,36530,99031.9765625,98392.96875,0.37126636505127,"48135"
"2557","48",48137,1073,1380.37255859375,1379.48596191406,0.777825951576233,"48137"
"2558","48",48139,63673,111549.4765625,112545.25,0.565754652023315,"48139"
"2559","48",48141,214008,495811.40625,500908.5625,0.427239656448364,"48141"
"2560","48",48143,13893,31965.12109375,32101.267578125,0.432786643505096,"48143"
"2561","48",48145,5248,11108.017578125,11137.2978515625,0.471209436655045,"48145"
"2562","48",48147,12044,22464.703125,22499.064453125,0.535311162471771,"48147"
"2563","48",48149,11174,18753.64453125,18801.451171875,0.594315826892853,"48149"
"2564","48",48151,1729,2911.9833984375,2912.04272460938,0.593741297721863,"48151"
"2565","48",48153,1959,3966.9609375,3963.36669921875,0.494276762008667,"48153"
"2566","48",48155,513,925.273132324219,924.280944824219,0.555026054382324,"48155"
"2567","48",48157,262066,439234.28125,443781.28125,0.59052962064743,"48157"
"2568","48",48159,4380,7341.001953125,7353.49169921875,0.595635414123535,"48159"
"2569","48",48161,7684,12716.875,12703.5673828125,0.604869484901428,"48161"
"2570","48",48163,4400,9840.072265625,9854.8173828125,0.44648215174675,"48163"
"2571","48",48165,4620,10480.51171875,10516.279296875,0.439318865537643,"48165"
"2572","48",48167,122903,229498.78125,232099.4375,0.529527366161346,"48167"
"2573","48",48169,1484,1882.06896972656,1898.56042480469,0.781644880771637,"48169"
"2574","48",48171,13214,20220.203125,20358.767578125,0.649056971073151,"48171"
"2575","48",48173,604,830.317993164062,826.719543457031,0.730598449707031,"48173"
"2576","48",48175,3708,5691.59619140625,5694.9990234375,0.651097536087036,"48175"
"2577","48",48177,6334,13234.927734375,13274.7431640625,0.477146714925766,"48177"
"2578","48",48179,7405,14070.671875,13900.9697265625,0.532696664333344,"48179"
"2579","48",48181,47416,86834.3125,86469.296875,0.548356473445892,"48181"
"2580","48",48183,41749,81727.390625,81358.921875,0.513145923614502,"48183"
"2581","48",48185,9533,16736.326171875,16805.537109375,0.567253530025482,"48185"
"2582","48",48187,57822,111312.6875,112712.6171875,0.513003766536713,"48187"
"2583","48",48189,8858,21029.7578125,21006.5,0.421678990125656,"48189"
"2584","48",48191,1091,2086.86743164062,2086.8623046875,0.522794425487518,"48191"
"2585","48",48193,3620,6277.7548828125,6323.115234375,0.572502613067627,"48193"
